---,x,y
650,"23.000000","5.000000"
651,"23.020000","5.000000"
652,"23.040001","10.000000"
653,"23.059999","1.000000"
654,"23.080000","5.000000"
655,"23.100000","5.000000"
656,"23.120001","1.000000"
657,"23.139999","20.000000"
658,"23.160000","1.000000"
659,"23.180000","5.000000"
660,"23.200001","10.000000"
661,"23.219999","15.000000"
662,"23.240000","1.000000"
663,"23.260000","5.000000"
664,"23.280001","5.000000"
665,"23.299999","5.000000"
666,"23.320000","10.000000"
667,"23.340000","5.000000"
668,"23.360001","5.000000"
669,"23.379999","10.000000"
670,"23.400000","1.000000"
671,"23.420000","5.000000"
672,"23.440001","1.000000"
673,"23.459999","5.000000"
674,"23.480000","10.000000"
675,"23.500000","5.000000"
676,"23.520000","1.000000"
677,"23.540001","5.000000"
678,"23.559999","5.000000"
679,"23.580000","1.000000"
680,"23.600000","10.000000"
681,"23.620001","15.000000"
682,"23.639999","5.000000"
683,"23.660000","5.000000"
684,"23.680000","5.000000"
685,"23.700001","10.000000"
686,"23.719999","1.000000"
687,"23.740000","1.000000"
688,"23.760000","10.000000"
689,"23.780001","10.000000"
690,"23.799999","1.000000"
691,"23.820000","1.000000"
692,"23.840000","5.000000"
693,"23.860001","1.000000"
694,"23.879999","10.000000"
695,"23.900000","10.000000"
696,"23.920000","5.000000"
697,"23.940001","5.000000"
698,"23.959999","10.000000"
699,"23.980000","10.000000"
700,"24.000000","5.000000"
701,"24.020000","10.000000"
702,"24.040001","1.000000"
703,"24.059999","5.000000"
704,"24.080000","10.000000"
705,"24.100000","5.000000"
706,"24.120001","5.000000"
707,"24.139999","5.000000"
708,"24.160000","15.000000"
709,"24.180000","10.000000"
710,"24.200001","5.000000"
711,"24.219999","10.000000"
712,"24.240000","10.000000"
713,"24.260000","5.000000"
714,"24.280001","5.000000"
715,"24.299999","5.000000"
716,"24.320000","15.000000"
717,"24.340000","5.000000"
718,"24.360001","5.000000"
719,"24.379999","5.000000"
720,"24.400000","10.000000"
721,"24.420000","5.000000"
722,"24.440001","5.000000"
723,"24.459999","10.000000"
724,"24.480000","5.000000"
725,"24.500000","10.000000"
726,"24.520000","5.000000"
727,"24.540001","15.000000"
728,"24.559999","5.000000"
729,"24.580000","5.000000"
730,"24.600000","5.000000"
731,"24.620001","5.000000"
732,"24.639999","5.000000"
733,"24.660000","5.000000"
734,"24.680000","15.000000"
735,"24.700001","1.000000"
736,"24.719999","10.000000"
737,"24.740000","5.000000"
738,"24.760000","5.000000"
739,"24.780001","5.000000"
740,"24.799999","20.000000"
741,"24.820000","10.000000"
742,"24.840000","1.000000"
743,"24.860001","10.000000"
744,"24.879999","10.000000"
745,"24.900000","5.000000"
746,"24.920000","5.000000"
747,"24.940001","10.000000"
748,"24.959999","5.000000"
749,"24.980000","10.000000"
750,"25.000000","5.000000"
751,"25.020000","10.000000"
752,"25.040001","10.000000"
753,"25.059999","1.000000"
754,"25.080000","5.000000"
755,"25.100000","5.000000"
756,"25.120001","1.000000"
757,"25.139999","15.000000"
758,"25.160000","10.000000"
759,"25.180000","5.000000"
760,"25.200001","10.000000"
761,"25.219999","1.000000"
762,"25.240000","5.000000"
763,"25.260000","5.000000"
764,"25.280001","1.000000"
765,"25.299999","10.000000"
766,"25.320000","5.000000"
767,"25.340000","15.000000"
768,"25.360001","5.000000"
769,"25.379999","1.000000"
770,"25.400000","5.000000"
771,"25.420000","5.000000"
772,"25.440001","5.000000"
773,"25.459999","5.000000"
774,"25.480000","5.000000"
775,"25.500000","5.000000"
776,"25.520000","5.000000"
777,"25.540001","5.000000"
778,"25.559999","10.000000"
779,"25.580000","10.000000"
780,"25.600000","10.000000"
781,"25.620001","10.000000"
782,"25.639999","5.000000"
783,"25.660000","5.000000"
784,"25.680000","5.000000"
785,"25.700001","1.000000"
786,"25.719999","5.000000"
787,"25.740000","1.000000"
788,"25.760000","20.000000"
789,"25.780001","1.000000"
790,"25.799999","5.000000"
791,"25.820000","1.000000"
792,"25.840000","10.000000"
793,"25.860001","10.000000"
794,"25.879999","5.000000"
795,"25.900000","5.000000"
796,"25.920000","1.000000"
797,"25.940001","1.000000"
798,"25.959999","5.000000"
799,"25.980000","5.000000"
800,"26.000000","5.000000"
801,"26.020000","10.000000"
802,"26.040001","5.000000"
803,"26.059999","15.000000"
804,"26.080000","10.000000"
805,"26.100000","5.000000"
806,"26.120001","5.000000"
807,"26.139999","5.000000"
808,"26.160000","5.000000"
809,"26.180000","5.000000"
810,"26.200001","10.000000"
811,"26.219999","5.000000"
812,"26.240000","5.000000"
813,"26.260000","5.000000"
814,"26.280001","1.000000"
815,"26.299999","10.000000"
816,"26.320000","5.000000"
817,"26.340000","5.000000"
818,"26.360001","5.000000"
819,"26.379999","10.000000"
820,"26.400000","5.000000"
821,"26.420000","5.000000"
822,"26.440001","5.000000"
823,"26.459999","5.000000"
824,"26.480000","10.000000"
825,"26.500000","5.000000"
826,"26.520000","10.000000"
827,"26.540001","10.000000"
828,"26.559999","1.000000"
829,"26.580000","5.000000"
830,"26.600000","1.000000"
831,"26.620001","1.000000"
832,"26.639999","15.000000"
833,"26.660000","10.000000"
834,"26.680000","5.000000"
835,"26.700001","15.000000"
836,"26.719999","5.000000"
837,"26.740000","5.000000"
838,"26.760000","5.000000"
839,"26.780001","5.000000"
840,"26.799999","1.000000"
841,"26.820000","5.000000"
842,"26.840000","1.000000"
843,"26.860001","1.000000"
844,"26.879999","10.000000"
845,"26.900000","5.000000"
846,"26.920000","10.000000"
847,"26.940001","5.000000"
848,"26.959999","5.000000"
849,"26.980000","5.000000"
850,"27.000000","5.000000"
851,"27.020000","1.000000"
852,"27.040001","10.000000"
853,"27.059999","1.000000"
854,"27.080000","5.000000"
855,"27.100000","5.000000"
856,"27.120001","10.000000"
857,"27.139999","5.000000"
858,"27.160000","10.000000"
859,"27.180000","1.000000"
860,"27.200001","5.000000"
861,"27.219999","5.000000"
862,"27.240000","1.000000"
863,"27.260000","10.000000"
864,"27.280001","5.000000"
865,"27.299999","10.000000"
866,"27.320000","5.000000"
867,"27.340000","5.000000"
868,"27.360001","5.000000"
869,"27.379999","5.000000"
870,"27.400000","10.000000"
871,"27.420000","1.000000"
872,"27.440001","5.000000"
873,"27.459999","5.000000"
874,"27.480000","10.000000"
875,"27.500000","1.000000"
876,"27.520000","10.000000"
877,"27.540001","10.000000"
878,"27.559999","10.000000"
879,"27.580000","15.000000"
880,"27.600000","5.000000"
881,"27.620001","5.000000"
882,"27.639999","5.000000"
883,"27.660000","10.000000"
884,"27.680000","5.000000"
885,"27.700001","5.000000"
886,"27.719999","5.000000"
